,category,value
0,A,485.73865617524547
1,C,681.9050379973683
2,B,317.2389526626241
3,B,934.5222933532301
4,A,495.792120547919
5,A,861.0535473749
6,A,825.8943039419763
7,C,360.99291950154253
8,A,42.21360177315536
9,C,510.53136396816177
10,A,940.2302714511218
11,D,246.30037928792703
12,D,28.387534412912864
13,A,981.3144734431702
14,A,890.3394177528289
15,C,805.4157031480452
16,C,888.8989111366404
17,A,852.0656852754295
18,C,334.9166330000508
19,D,23.195418310349545
20,A,30.232705897244028
21,C,268.88435854570236
22,C,521.2654811434019
23,C,776.5917982489337
24,C,783.931578422657
25,B,146.7488840623925
26,B,561.3907972275147
27,D,76.97281281523505
28,C,942.9037448857778
29,A,214.552959072544
30,C,689.5554720843325
31,D,625.4991226269983
32,D,190.6981681636718
33,D,127.55506150810103
34,D,309.2845001594693
35,D,34.298144341163294
36,B,362.7143581499983
37,D,317.02662455438855
38,A,703.5590033781684
39,C,57.99568172890734
40,A,125.46273800416007
41,D,799.8973198370377
42,A,835.6309741277513
43,B,509.1478156790843
44,A,677.9971776837193
45,A,572.0108069679513
46,A,807.9151089529093
47,D,810.8772798260596
48,A,153.0211185792466
49,D,293.55323735532477
50,D,60.485090482555236
51,D,23.86972282865818
52,C,224.19491137886894
53,D,647.5047770672788
54,D,898.9149916290406
55,C,223.203097496123
56,A,115.64303134601106
57,C,953.5279969932005
58,B,396.81553205758166
59,B,70.92945739701794
60,C,441.34470852406326
61,D,291.67307341234704
62,B,834.0503037872759
63,C,613.3323565336275
64,D,372.1117206878511
65,A,865.6566788566118
66,B,115.91796213577766
67,A,90.09134813130527
68,A,582.3406892413402
69,C,350.5236158272046
70,A,349.0343792744214
71,C,968.3608648445935
72,C,219.77820225311484
73,D,602.0269734527584
74,A,175.06485035669016
75,B,784.748743692542
76,B,961.0377531584012
77,A,369.2138453530951
78,B,341.7241720436218
79,C,783.0128777577418
80,D,526.9914429387461
81,D,186.17211036581892
82,A,350.6676119859451
83,A,361.8719605018802
84,B,933.860558566291
85,B,262.38405466603854
86,D,178.2685463016407
87,A,324.244637731948
88,B,988.7465327926058
89,B,546.2351769671327
90,B,681.6006122226497
91,A,308.40715138301147
92,B,25.86121883316195
93,B,941.6365264948686
94,D,71.4306516878762
95,D,80.25253442355617
96,D,957.8895771190191
97,A,12.289148709051844
98,C,757.406933499724
99,B,108.3964442678742
