,category,value
0,B,394.8055374630207
1,A,431.77125482687904
2,C,852.2706789174638
3,A,563.8111877259261
4,D,718.6362559422233
5,B,837.7382948544765
6,C,387.726610111503
7,A,94.07768197501542
8,C,940.4640209147843
9,A,390.7819116795003
10,C,762.7885106831804
11,D,443.6285863397602
12,B,879.0934773685792
13,D,280.7475156900007
14,B,152.37804137518273
15,A,384.0533150198726
16,C,747.2428832265141
17,C,954.1186310101475
18,C,710.8364440306261
19,C,761.8720670052395
20,C,805.6172314541186
21,B,965.0542308228389
22,D,660.6280140980891
23,D,702.0309489067097
24,D,884.0715775010714
25,A,31.930069328165334
26,D,16.49580824700081
27,B,96.92622470094936
28,B,299.5934906603729
29,A,212.65478449771635
30,C,625.4836429074384
31,A,388.26209761068685
32,C,645.9214739622029
33,B,100.94430265892795
34,B,433.3928499927918
35,B,682.4627491622798
36,C,742.2566431583898
37,A,354.13329530571167
38,B,438.53449684866086
39,B,383.84742855926714
40,D,166.5867424289361
41,B,8.283081221860055
42,C,490.6176988979688
43,D,229.2090608846008
44,B,811.6749931845318
45,B,178.15208882862677
46,B,859.5416717047101
47,B,34.313160144386345
48,D,591.8893535479957
49,C,965.4685055446872
50,D,834.1528427412084
51,B,298.1942507282016
52,B,52.45065341810717
53,C,977.2232293753243
54,D,37.360498064948786
55,C,396.6425113037415
56,C,904.8991777177728
57,A,853.0887336437652
58,D,472.91829425423106
59,A,293.47028878847226
60,D,857.3405090440855
61,C,875.8908561752019
62,C,235.59843515201752
63,A,311.5965805815344
64,A,636.2220776997302
65,B,132.4028511202642
66,C,146.75193262596443
67,D,725.0951858582915
68,D,195.47319368595285
69,D,412.4898097655937
70,B,987.7057994184786
71,B,613.8140315135729
72,C,438.184314594119
73,B,24.716663224775836
74,C,537.7615343408605
75,D,565.595182605759
76,A,745.603598629889
77,C,119.44483981332633
78,B,144.9331105672602
79,D,920.7161117814625
80,C,516.7876745494018
81,B,472.3058665153581
82,C,324.3898707947268
83,C,31.336747963824575
84,C,383.09226552250266
85,A,253.69186154218903
86,B,860.564851966465
87,B,259.4214313402642
88,B,881.0719689882841
89,A,213.76522308863198
90,D,518.2229109587283
91,C,725.2708372412811
92,A,521.612649516829
93,D,384.3737092390369
94,A,499.40207102440957
95,D,117.26451401194082
96,D,93.54454052026495
97,A,401.25018445348303
98,D,6.486657476624469
99,C,627.9659181606556
