,category,value
0,D,265.7661094654064
1,B,304.914089934013
2,C,316.76790257249786
3,B,17.920029144837923
4,B,57.27920520886964
5,D,419.582009374589
6,A,507.645933586794
7,C,588.2390380049666
8,D,74.97881849210918
9,D,515.0216069944944
10,B,775.3940422989676
11,B,567.3620151349492
12,D,631.2989358589282
13,D,23.795709070121184
14,B,908.0683767556164
15,B,762.433763839871
16,C,476.73887962377825
17,D,900.0629998616058
18,A,604.4370049699397
19,D,879.698288336554
20,C,893.6141223931576
21,A,225.12903237737459
22,A,548.3312846571065
23,A,289.9268072485146
24,B,65.88522568525201
25,D,960.7812498954424
26,A,144.94984535098598
27,C,154.82689907459957
28,D,553.3501005351396
29,B,671.3066713600724
30,B,634.8465616448792
31,D,638.6395178197303
32,D,577.7717554542097
33,C,282.78253668042544
34,B,436.40522251749934
35,C,822.5098210100069
36,D,894.6598802748445
37,A,898.925866934268
38,A,885.7218584635326
39,C,972.9685411077834
40,C,557.7783490737229
41,B,534.4188461166323
42,A,613.9028405444953
43,C,246.71356077180894
44,A,361.08841380803716
45,D,782.0263057669213
46,C,234.9879115021589
47,B,9.452125233286313
48,A,755.2887935740533
49,C,192.2405136211569
50,D,737.0784792822094
51,A,869.930604685221
52,C,282.59763127529146
53,D,196.66375412369186
54,A,759.2517210323434
55,D,980.5399608668745
56,B,483.32061353653154
57,C,781.6584861444016
58,C,236.27215868990191
59,A,381.1461468601263
60,A,398.79921859639643
61,A,645.2175615696603
62,C,497.37200042047135
63,A,820.401039212719
64,C,291.9191421958567
65,C,924.1562179001912
66,A,342.97781943323594
67,A,78.75319165568028
68,A,208.2432626347297
69,D,81.47320864750529
70,C,561.7065079699158
71,C,904.2705718256302
72,B,716.7645681094364
73,C,321.559714702903
74,D,438.01104852148256
75,B,383.14414295252664
76,D,411.178402913016
77,C,808.0186797645923
78,C,612.7908767557187
79,B,305.86459686212197
80,A,817.4666765603281
81,D,749.4647816483439
82,C,536.7526091384665
83,C,909.7951786298861
84,A,679.6738152892012
85,C,621.926229420533
86,A,599.5175974045573
87,D,95.06022256490232
88,B,381.28687244181145
89,D,748.8056846365165
90,B,904.6321375509373
91,B,321.37577447897
92,C,281.3520779453663
93,B,89.67160414805963
94,C,28.257816709289617
95,B,823.339478921437
96,A,475.96951293042343
97,D,633.5553753562021
98,B,53.14561706162746
99,D,268.3241028355622
